candles

open;close;high;low;value;volume;begin;end
104.17;104.74;104.74;104.14;9670053004.71;0;2011-12-01 00:00:00;2011-12-31 00:00:00
103.65;104.14;104.14;103.65;7920695322.59;0;2011-11-01 00:00:00;2011-11-30 00:00:00
102.83;103.63;103.63;102.62;8626113789.81;0;2011-10-01 00:00:00;2011-10-31 00:00:00
103.2;103.08;103.29;102.65;3705742712.21;0;2011-09-01 00:00:00;2011-09-30 00:00:00
102.98;103.22;103.22;102.87;930380272.92;0;2011-08-01 00:00:00;2011-08-31 00:00:00
102.49;102.9;102.9;102.49;373054700.67;0;2011-07-01 00:00:00;2011-07-31 00:00:00
102.21;102.46;102.46;102.12;990060509.4;0;2011-06-01 00:00:00;2011-06-30 00:00:00
102.14;102.18;102.38;102.03;17118947745.48;0;2011-05-01 00:00:00;2011-05-31 00:00:00
101.63;102.05;102.05;101.63;15338565731.89;0;2011-04-01 00:00:00;2011-04-30 00:00:00
100.97;101.63;101.63;100.97;7364943891.78;0;2011-03-01 00:00:00;2011-03-31 00:00:00
100.53;100.97;100.97;100.53;6321618003.32;0;2011-02-01 00:00:00;2011-02-28 00:00:00
100.22;100.51;100.51;100.19;13141102248.59;0;2011-01-01 00:00:00;2011-01-31 00:00:00
100;100;100;100;0;0;2010-12-01 00:00:00;2010-12-31 00:00:00


